i,x,z,recall_naive,recall_naive_sc,recall_rerank
457,376.55,297.995,1,1,1
458,377.395,298.666,1,1,1
459,378.232,299.329,1,1,1
460,379.067,299.994,1,1,1
461,379.903,300.659,1,1,1
462,380.737,301.323,1,1,1
463,381.572,301.988,1,1,1
464,382.404,302.652,1,1,1
465,383.234,303.315,1,1,1
466,384.076,303.988,1,1,1
467,384.92,304.663,1,1,1
468,385.76,305.335,1,1,1
469,386.601,306.008,1,1,1
470,387.438,306.678,1,1,1
471,388.273,307.345,1,1,1
472,389.101,308.007,1,1,1
473,389.919,308.662,1,1,1
474,390.731,309.31,1,1,1
475,391.544,309.958,1,1,1
476,392.358,310.607,1,1,1
477,393.172,311.254,1,1,1
478,393.986,311.901,1,1,1
479,394.799,312.547,1,1,1
480,395.625,313.203,1,1,1
481,396.452,313.86,1,1,1
482,397.28,314.517,1,1,1
483,398.105,315.172,1,1,1
484,398.931,315.827,1,1,1
485,399.754,316.481,1,1,1
486,400.571,317.128,1,1,1
487,401.378,317.767,1,1,1
488,402.185,318.406,1,1,1
489,402.989,319.044,1,1,1
490,403.795,319.682,1,1,1
491,404.598,320.319,1,1,1
492,405.402,320.955,1,1,1
493,406.206,321.592,1,1,1
494,407.021,322.237,1,1,1
495,407.842,322.887,1,1,1
496,408.663,323.536,1,1,1
497,409.483,324.185,1,1,1
498,410.304,324.834,1,1,1
499,411.125,325.483,1,1,1
500,411.936,326.123,1,1,1
501,412.741,326.759,1,1,1
502,413.547,327.396,1,1,1
503,414.353,328.034,1,1,1
504,415.158,328.671,1,1,1
505,415.964,329.309,1,1,1
506,416.768,329.946,1,1,1
507,417.573,330.584,1,1,1
508,418.389,331.231,1,1,1
509,419.21,331.882,1,1,1
510,420.03,332.532,1,1,1
511,420.851,333.184,1,1,1
512,421.671,333.836,1,1,1
513,422.493,334.488,1,1,1
514,423.305,335.134,1,1,1
515,424.11,335.774,1,1,1
516,424.913,336.413,1,1,1
517,425.717,337.052,1,1,1
518,426.52,337.691,1,1,1
