i,x,z,recall_naive,recall_naive_sc,recall_rerank
684,145.193,248.655,1,1,1
685,146.195,248.641,1,1,1
686,147.206,248.632,1,1,1
687,148.212,248.628,1,1,1
688,149.227,248.63,1,1,1
689,150.247,248.637,1,1,1
690,151.272,248.653,1,1,1
691,152.302,248.674,1,1,1
692,153.336,248.702,1,1,1
693,154.375,248.737,1,1,1
694,155.419,248.778,1,1,1
695,156.468,248.825,1,1,1
696,157.522,248.88,1,1,1
697,158.579,248.941,1,1,1
698,159.64,249.009,1,1,1
699,160.703,249.083,1,1,1
700,161.77,249.166,1,1,1
701,162.841,249.255,1,1,1
702,163.914,249.351,1,1,1
703,164.991,249.453,1,1,1
704,166.072,249.562,1,1,1
705,167.157,249.678,1,1,1
706,168.246,249.8,1,1,1
707,169.338,249.927,1,1,1
708,170.432,250.061,1,1,1
709,171.524,250.2,1,1,1
710,172.616,250.344,1,1,1
711,173.706,250.493,1,1,1
712,174.794,250.647,1,1,1
713,175.881,250.805,1,1,1
714,176.966,250.968,1,1,1
715,178.046,251.134,1,1,1
716,179.123,251.305,1,1,1
717,180.198,251.483,1,1,1
718,181.27,251.666,1,1,1
719,182.34,251.856,1,1,1
720,183.41,252.052,1,1,1
721,184.481,252.253,1,1,1
722,185.537,252.457,1,1,1
723,186.604,252.668,1,1,1
724,187.667,252.884,1,1,1
725,188.729,253.106,1,1,1
726,189.794,253.334,1,1,1
727,190.857,253.57,1,1,1
728,191.919,253.81,1,1,1
729,192.977,254.056,1,1,1
730,194.039,254.31,1,1,1
731,195.101,254.57,1,1,1
732,196.162,254.836,1,1,1
733,197.22,255.108,1,1,1
734,198.274,255.386,1,1,1
735,199.33,255.67,1,1,1
736,200.386,255.962,1,1,1
737,201.441,256.262,1,1,1
738,202.493,256.569,1,1,1
739,203.543,256.885,1,1,1
740,204.591,257.208,1,1,1
741,205.639,257.539,1,1,1
742,206.686,257.877,1,1,1
743,207.725,258.22,1,1,1
744,208.768,258.573,1,1,1
745,209.813,258.934,1,1,1
746,210.856,259.302,1,1,1
747,211.796,259.643,1,1,1
748,212.834,260.028,1,1,1
749,213.872,260.424,1,1,1
750,214.812,260.79,1,1,1
751,215.75,261.162,1,1,1
752,216.687,261.544,1,1,1
753,217.626,261.936,1,1,1
754,218.557,262.333,1,1,1
755,219.491,262.74,1,1,1
756,220.425,263.157,1,1,1
757,221.357,263.582,1,1,1
758,222.287,264.014,1,1,1
759,223.217,264.456,1,1,1
760,224.145,264.906,1,1,1
761,225.077,265.366,1,1,1
762,226.008,265.836,1,1,1
763,226.935,266.31,1,1,1
764,227.861,266.792,1,1,1
765,228.785,267.278,1,1,1
766,229.706,267.77,1,1,1
767,230.626,268.269,1,1,1
768,231.544,268.773,1,1,1
769,232.459,269.284,1,1,1
770,233.373,269.802,1,1,1
771,234.284,270.325,1,1,1
772,235.2,270.857,1,1,1
773,236.111,271.393,1,1,1
774,237.022,271.934,1,1,1
775,237.932,272.479,1,1,1
776,238.841,273.027,1,1,1
777,239.749,273.576,1,1,1
778,240.655,274.129,1,1,1
779,241.561,274.682,1,1,1
780,242.466,275.236,1,1,1
781,243.371,275.789,1,1,1
782,244.272,276.339,1,1,1
783,245.172,276.889,1,1,1
784,246.071,277.438,1,1,1
785,246.97,277.986,1,1,1
786,247.864,278.531,1,1,1
787,248.758,279.074,1,1,1
788,249.651,279.615,1,1,1
789,250.535,280.151,1,1,1
790,251.417,280.683,1,1,1
791,252.294,281.209,1,1,1
792,253.163,281.728,1,1,1
793,254.024,282.239,1,1,1
794,254.972,282.795,1,1,1
795,255.911,283.34,1,1,1
796,256.846,283.873,1,1,1
797,257.776,284.393,1,1,1
798,258.696,284.896,1,1,1
799,259.611,285.382,1,1,1
800,260.52,285.853,1,1,1
