i,x,z,recall_naive,recall_naive_sc,recall_rerank
728,307.134,305.104,1,1,1
729,308.002,304.442,1,1,1
730,308.873,303.782,1,1,1
731,309.752,303.121,1,1,1
732,310.632,302.464,1,1,1
733,311.519,301.809,1,1,1
734,312.414,301.155,1,1,1
735,313.311,300.506,1,1,1
736,314.215,299.859,1,1,1
737,315.123,299.216,1,1,1
738,316.038,298.575,1,1,1
739,316.954,297.939,1,1,1
740,317.874,297.306,1,1,1
741,318.799,296.678,1,1,1
742,319.728,296.053,1,1,1
743,320.663,295.432,1,1,1
744,321.497,294.881,1,1,1
745,322.339,294.332,1,1,1
746,323.18,293.787,1,1,1
747,324.023,293.246,1,1,1
748,324.873,292.706,1,1,1
749,325.726,292.169,1,1,1
750,326.582,291.635,1,1,1
751,327.442,291.103,1,1,1
752,328.303,290.575,1,1,1
753,329.168,290.05,1,1,1
754,330.034,289.528,1,1,1
755,330.906,289.007,1,1,1
756,331.788,288.484,1,1,1
757,332.653,287.976,1,1,1
758,333.537,287.462,1,1,1
759,334.424,286.949,1,1,1
760,335.313,286.438,1,1,1
761,336.203,285.932,1,1,1
762,337.092,285.428,1,1,1
763,337.985,284.926,1,1,1
764,338.879,284.427,1,1,1
765,339.776,283.929,1,1,1
766,340.678,283.431,1,1,1
767,341.583,282.934,1,1,1
768,342.489,282.436,1,1,1
769,343.395,281.939,1,1,1
770,344.302,281.44,1,1,1
771,345.209,280.94,1,1,1
772,346.118,280.439,1,1,1
773,347.024,279.938,1,1,1
774,347.935,279.434,1,1,1
775,348.847,278.929,1,1,1
776,349.758,278.423,1,1,1
777,350.67,277.916,1,1,1
778,351.582,277.408,1,1,1
779,352.493,276.9,1,1,1
780,353.406,276.391,1,1,1
781,354.324,275.88,1,1,1
782,355.242,275.371,1,1,1
783,356.156,274.868,1,1,1
784,357.079,274.362,1,1,1
785,358.002,273.857,1,1,1
786,358.926,273.353,1,1,1
787,359.853,272.849,1,1,1
788,360.779,272.349,1,1,1
789,361.707,271.849,1,1,1
790,362.636,271.35,1,1,1
791,363.569,270.851,1,1,1
792,364.503,270.352,1,1,1
793,365.44,269.852,1,1,1
794,366.379,269.351,1,1,1
795,367.317,268.852,1,1,1
796,368.257,268.354,1,1,1
797,369.198,267.855,1,1,1
798,370.142,267.356,1,1,1
799,371.085,266.858,1,1,1
800,372.031,266.359,1,1,1
801,372.978,265.86,1,1,1
802,373.927,265.361,1,1,1
803,374.876,264.863,1,1,1
804,375.826,264.366,1,1,1
805,376.779,263.867,1,1,1
806,377.73,263.371,1,1,1
807,378.678,262.876,1,1,1
808,379.626,262.382,1,1,1
809,380.573,261.889,1,1,1
810,381.518,261.398,1,1,1
