source,leaf_max_size,k,threads,n_points,build_s,query_us
random_10000,10,5,1,10000,0.0009333,0.68945
random_10000,10,20,1,10000,0.0009297,2.0404
random_10000,25,1,1,10000,0.0007678,0.31415
random_10000,25,5,1,10000,0.0007608,0.65965
random_10000,25,20,1,10000,0.0007574,1.66825
random_10000,10,1,1,10000,0.0009214,0.28815
random_10000,10,5,1,10000,0.0009257,0.6647
random_10000,10,20,1,10000,0.0009216,1.81895
random_10000,25,1,1,10000,0.0007582,0.31905
random_10000,25,5,1,10000,0.0007641,0.64305
random_10000,25,20,1,10000,0.0007601,1.66685
random_10000,10,1,1,10000,0.0009588,0.2906
random_10000,10,5,1,10000,0.00093,0.67
random_10000,10,20,1,10000,0.0009282,1.80165
random_10000,25,1,1,10000,0.0007561,0.2873
random_10000,25,5,1,10000,0.0007619,0.64255
random_10000,25,20,1,10000,0.0007613,1.73935
random_10000,10,1,1,10000,0.0009865,0.3082
random_10000,10,5,1,10000,0.0009845,0.7053
random_10000,10,20,1,10000,0.001132,1.8826
random_10000,25,1,1,10000,0.0007682,0.2949
random_10000,25,5,1,10000,0.0007629,0.6513
random_10000,25,20,1,10000,0.0007673,1.71845
random_10000,10,1,1,10000,0.0010327,0.30775
random_10000,10,5,1,10000,0.0010912,0.88065
random_10000,10,20,1,10000,0.0011719,1.9203
random_10000,25,1,1,10000,0.0007933,0.2871
random_10000,25,5,1,10000,0.0007896,0.65275
random_10000,25,20,1,10000,0.000853,1.74745
random_10000,10,1,1,10000,0.000983,0.30395
random_10000,10,5,1,10000,0.0009374,0.69125
random_10000,10,20,1,10000,0.0012082,1.97055
random_10000,25,1,1,10000,0.00076,0.2904
random_10000,25,5,1,10000,0.0007626,0.65105
random_10000,25,20,1,10000,0.0007606,1.6826
random_10000,10,1,1,10000,0.0011457,0.31225
random_10000,10,5,1,10000,0.0009443,0.68245
random_10000,10,20,1,10000,0.0009245,1.9138
random_10000,25,1,1,10000,0.0007591,0.29545
random_10000,25,5,1,10000,0.0007527,0.65785
random_10000,25,20,1,10000,0.0007595,1.7075
random_10000,10,1,1,10000,0.0009571,0.32725
random_10000,10,5,1,10000,0.0009341,0.68095
random_10000,10,20,1,10000,0.0011243,1.8226
random_10000,25,1,1,10000,0.000758,0.2913
random_10000,25,5,1,10000,0.0007605,0.65615
random_10000,25,20,1,10000,0.0007608,1.71315
random_10000,10,1,1,10000,0.0009332,0.29105
random_10000,10,5,1,10000,0.0009247,0.7018
random_10000,10,20,1,10000,0.0009202,1.81555
random_10000,25,1,1,10000,0.0007594,0.2848
random_10000,25,5,1,10000,0.0007594,0.65295
random_10000,25,20,1,10000,0.0007606,1.6529
random_50000,10,1,1,50000,0.0056679,0.4053
random_50000,10,5,1,50000,0.0056662,0.83895
random_50000,10,20,1,50000,0.0056648,2.25995
random_50000,25,1,1,50000,0.0049853,0.41995
random_50000,25,5,1,50000,0.0048642,0.8732
random_50000,25,20,1,50000,0.0048565,2.20495
random_50000,10,1,1,50000,0.0057629,0.395
random_50000,10,5,1,50000,0.0056289,0.83955
random_50000,10,20,1,50000,0.0056391,2.2834
random_50000,25,1,1,50000,0.0048523,0.4235
random_50000,25,5,1,50000,0.0048493,0.8797
random_50000,25,20,1,50000,0.0049697,2.21335
random_50000,10,1,1,50000,0.0059115,0.3875
random_50000,10,5,1,50000,0.006268,0.8336
random_50000,10,20,1,50000,0.005926,2.3317
random_50000,25,1,1,50000,0.0051708,0.4164
random_50000,25,5,1,50000,0.0051584,0.8743
random_50000,25,20,1,50000,0.0052701,2.18205
random_50000,10,1,1,50000,0.0058831,0.42525
random_50000,10,5,1,50000,0.0057668,0.84045
random_50000,10,20,1,50000,0.0056885,2.3745
random_50000,25,1,1,50000,0.0049094,0.4203
random_50000,25,5,1,50000,0.0048994,0.8752
random_50000,25,20,1,50000,0.0048634,2.20855
random_50000,10,1,1,50000,0.0059057,0.39575
random_50000,10,5,1,50000,0.0059475,0.84725
random_50000,10,20,1,50000,0.0059207,2.2787
random_50000,25,1,1,50000,0.0050709,0.42725
random_50000,25,5,1,50000,0.0050748,0.88695
random_50000,25,20,1,50000,0.0051832,2.2167
random_50000,10,1,1,50000,0.0059253,0.4026
random_50000,10,5,1,50000,0.0059354,0.84425
random_50000,10,20,1,50000,0.0059215,2.28725
random_50000,25,1,1,50000,0.0051903,0.5518
random_50000,25,5,1,50000,0.0050772,0.89785
random_50000,25,20,1,50000,0.0050778,2.23545
random_50000,10,1,1,50000,0.0058834,0.38695
random_50000,10,5,1,50000,0.0060521,0.8374
random_50000,10,20,1,50000,0.0058773,2.2646
random_50000,25,1,1,50000,0.0052947,0.4228
random_50000,25,5,1,50000,0.0050118,0.86885
random_50000,25,20,1,50000,0.0051687,2.307
random_50000,10,1,1,50000,0.0059747,0.3856
random_50000,10,5,1,50000,0.0059816,0.83805
random_50000,10,20,1,50000,0.0059068,2.27255
random_50000,25,1,1,50000,0.0052381,0.42695
random_50000,25,5,1,50000,0.0051871,0.8904
random_50000,25,20,1,50000,0.0051126,2.2358
random_50000,10,1,1,50000,0.0059005,0.39045
random_50000,10,5,1,50000,0.0058976,0.84
random_50000,10,20,1,50000,0.0058896,2.28955
random_50000,25,1,1,50000,0.0050807,0.41225
random_50000,25,5,1,50000,0.0050982,0.8694
random_50000,25,20,1,50000,0.0050542,2.2071
random_50000,10,1,1,50000,0.0058424,0.415
random_50000,10,5,1,50000,0.0056908,0.87335
random_50000,10,20,1,50000,0.005687,2.3451
random_50000,25,1,1,50000,0.0049699,0.43355
random_50000,25,5,1,50000,0.0048323,0.8749
random_50000,25,20,1,50000,0.0050148,2.22915
random_50000,10,1,1,50000,0.0059241,0.4055
random_50000,10,5,1,50000,0.006178,0.84145
random_50000,10,20,1,50000,0.0061936,2.284
random_50000,25,1,1,50000,0.0050657,0.4808
random_50000,25,5,1,50000,0.0052642,0.87405
random_50000,25,20,1,50000,0.0050667,2.19435
random_50000,10,1,1,50000,0.0059162,0.3967
random_50000,10,5,1,50000,0.0060663,0.83445
random_50000,10,20,1,50000,0.0061502,2.3375
random_50000,25,1,1,50000,0.0051412,0.4192
random_50000,25,5,1,50000,0.0059695,0.88575
random_50000,25,20,1,50000,0.0061577,2.39475
random_50000,10,1,1,50000,0.0059576,0.4525
random_50000,10,5,1,50000,0.0059654,0.85545
random_50000,10,20,1,50000,0.00591,2.29595
random_50000,25,1,1,50000,0.0052704,0.43955
random_50000,25,5,1,50000,0.0051268,0.88105
random_50000,25,20,1,50000,0.0050768,2.27435
random_50000,10,1,1,50000,0.0059244,0.3836
random_50000,10,5,1,50000,0.0060788,0.87995
random_50000,10,20,1,50000,0.0061143,2.2569
random_50000,25,1,1,50000,0.0050753,0.40775
random_50000,25,5,1,50000,0.0050819,0.86465
random_50000,25,20,1,50000,0.0050925,2.26405
random_50000,10,1,1,50000,0.0056887,0.40935
random_50000,10,5,1,50000,0.005687,0.9129
random_50000,10,20,1,50000,0.0056741,2.2728
random_50000,25,1,1,50000,0.0048742,0.42025
random_50000,25,5,1,50000,0.0048473,0.88
