source,leaf_max_size,k,threads,n_points,build_s,query_us
random_10000,25,20,1,10000,0.000704,1.6741
random_10000,10,1,1,10000,0.0008539,0.2985
random_10000,10,5,1,10000,0.0008546,0.68335
random_10000,10,20,1,10000,0.0008521,1.9214
random_10000,25,1,1,10000,0.0006988,0.30425
random_10000,25,5,1,10000,0.0007353,0.664
random_10000,25,20,1,10000,0.0007022,1.69435
random_10000,10,1,1,10000,0.0008528,0.29405
random_10000,10,5,1,10000,0.0008516,0.678
random_10000,10,20,1,10000,0.0008511,1.8993
random_10000,25,1,1,10000,0.0007061,0.2931
random_10000,25,5,1,10000,0.0007146,0.66715
random_10000,25,20,1,10000,0.0007035,1.67245
random_10000,10,1,1,10000,0.0008537,0.28875
random_10000,10,5,1,10000,0.000852,0.6785
random_10000,10,20,1,10000,0.0008514,1.88775
random_10000,25,1,1,10000,0.0007071,0.287
random_10000,25,5,1,10000,0.0006981,0.64995
random_10000,25,20,1,10000,0.0007008,1.6799
random_10000,10,1,1,10000,0.0008528,0.34975
random_10000,10,5,1,10000,0.0008941,0.7174
random_10000,10,20,1,10000,0.0008585,1.88645
random_10000,25,1,1,10000,0.0007048,0.2987
random_10000,25,5,1,10000,0.0007038,0.6681
random_10000,25,20,1,10000,0.000699,1.6842
random_10000,10,1,1,10000,0.0008781,0.3514
random_10000,10,5,1,10000,0.0008606,0.7198
random_10000,10,20,1,10000,0.0008593,1.82265
random_10000,25,1,1,10000,0.0007037,0.2889
random_10000,25,5,1,10000,0.0006965,0.65035
random_10000,25,20,1,10000,0.0007039,1.6605
random_10000,10,1,1,10000,0.0009128,0.32335
random_10000,10,5,1,10000,0.0009614,0.69695
random_10000,10,20,1,10000,0.0009002,1.81505
random_10000,25,1,1,10000,0.000736,0.29985
random_10000,25,5,1,10000,0.0007325,0.6433
random_10000,25,20,1,10000,0.0007351,1.64945
random_10000,10,1,1,10000,0.0008551,0.3065
random_10000,10,5,1,10000,0.0008549,0.68745
random_10000,10,20,1,10000,0.0008546,1.82625
random_10000,25,1,1,10000,0.0007028,0.2889
random_10000,25,5,1,10000,0.0007037,0.6587
random_10000,25,20,1,10000,0.0007022,1.66415
random_10000,10,1,1,10000,0.00085,0.30215
random_10000,10,5,1,10000,0.000866,0.7542
random_10000,10,20,1,10000,0.0008618,1.8895
random_10000,25,1,1,10000,0.0007074,0.30555
random_10000,25,5,1,10000,0.000705,0.65985
random_10000,25,20,1,10000,0.0007043,1.6686
random_10000,10,1,1,10000,0.0008544,0.2973
random_10000,10,5,1,10000,0.0008503,0.7569
random_10000,10,20,1,10000,0.0009477,1.84495
random_10000,25,1,1,10000,0.0007016,0.29225
random_10000,25,5,1,10000,0.0007008,0.70285
random_10000,25,20,1,10000,0.0007798,1.72405
random_10000,10,1,1,10000,0.000879,0.29555
random_10000,10,5,1,10000,0.000855,0.69695
random_10000,10,20,1,10000,0.00086,1.8571
random_10000,25,1,1,10000,0.0007061,0.29255
random_10000,25,5,1,10000,0.0007029,0.72195
random_10000,25,20,1,10000,0.0007196,1.7298
random_10000,10,1,1,10000,0.0008575,0.30165
random_10000,10,5,1,10000,0.0008538,0.67845
random_10000,10,20,1,10000,0.000947,1.8295
random_10000,25,1,1,10000,0.0007046,0.28635
random_10000,25,5,1,10000,0.0007036,0.7182
random_10000,25,20,1,10000,0.0008504,1.8071
random_10000,10,1,1,10000,0.0008539,0.2958
random_10000,10,5,1,10000,0.0008505,0.6779
random_10000,10,20,1,10000,0.001024,1.9593
random_10000,25,1,1,10000,0.0007047,0.29525
random_10000,25,5,1,10000,0.0007047,0.7698
random_10000,25,20,1,10000,0.0009113,1.8377
random_10000,10,1,1,10000,0.0008581,0.3
random_10000,10,5,1,10000,0.0008528,0.694
random_10000,10,20,1,10000,0.0008658,1.8366
random_10000,25,1,1,10000,0.0007175,0.297
random_10000,25,5,1,10000,0.0006941,0.6653
random_10000,25,20,1,10000,0.0007048,1.93105
random_10000,10,1,1,10000,0.000953,0.3102
random_10000,10,5,1,10000,0.0009064,0.82895
random_10000,10,20,1,10000,0.0008883,1.82995
random_10000,25,1,1,10000,0.0007046,0.28975
random_10000,25,5,1,10000,0.0007053,0.65895
random_10000,25,20,1,10000,0.0007129,1.6754
random_10000,10,1,1,10000,0.0008474,0.302
random_10000,10,5,1,10000,0.0008527,0.69825
random_10000,10,20,1,10000,0.0008659,1.9171
random_10000,25,1,1,10000,0.0007045,0.2977
random_10000,25,5,1,10000,0.0007019,0.67
