method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
rebuild,9,137.9922,0.3824,1235421,1235421,1421788,1421788
rebuild,10,155.3371,0.3567,1356425,1356425,1421788,1421788
rebuild,11,172.8462,0.4769,1477356,1477356,1421788,1421788
rebuild,12,210.9314,0.3693,1597775,1597775,1421788,1421788
rebuild,13,210.5864,0.5008,1717957,1717957,1421788,1421788
rebuild,14,231.5925,0.4444,1838248,1838248,1421788,1421788
rebuild,15,234.6455,0.3878,1959091,1959091,1421788,1421788
rebuild,16,246.8362,0.4762,2080723,2080723,1421788,1421788
rebuild,17,304.0605,0.5005,2203534,2203534,1421788,1421788
rebuild,18,297.9064,0.3976,2327080,2327080,1421788,1421788
rebuild,19,308.2054,0.7694,2450874,2450874,1421788,1421788
rebuild,20,361.1944,0.4883,2574874,2574874,1421788,1421788
rebuild,21,339.5159,0.4153,2698905,2698905,1421788,1421788
rebuild,22,352.0326,0.4117,2822850,2822850,1421788,1421788
rebuild,23,394.1479,0.4835,2946569,2946569,1421788,1421788
rebuild,24,382.7178,0.4317,3070140,3070140,1421788,1421788
rebuild,25,399.7219,0.4816,3193683,3193683,1421788,1421788
rebuild,26,423.6814,0.4497,3316909,3316909,1421788,1421788
rebuild,27,466.8530,0.5129,3439704,3439704,1421788,1421788
rebuild,28,472.3033,0.4142,3562317,3562317,1421788,1421788
rebuild,29,464.8216,0.4174,3684769,3684769,1421788,1421788
rebuild,30,492.6306,0.4617,3807275,3807275,1421788,1421788
rebuild,31,497.7975,0.4319,3929696,3929696,1421788,1421788
rebuild,32,516.0535,0.4168,4051773,4051773,1421788,1421788
rebuild,33,531.2453,0.4371,4173560,4173560,1421788,1421788
rebuild,34,552.3175,0.4359,4294245,4294245,1421788,1421788
rebuild,35,565.6129,0.4366,4413975,4413975,1421788,1421788
rebuild,36,579.0957,0.4589,4533188,4533188,1421788,1421788
rebuild,37,600.8040,0.4321,4652013,4652013,1421788,1421788
rebuild,38,618.9490,0.4482,4770208,4770208,1421788,1421788
rebuild,39,642.8193,0.4238,4887784,4887784,1421788,1421788
rebuild,40,702.8945,0.5626,5004315,5004315,1421788,1421788
rebuild,41,735.3392,0.4723,5119087,5119087,1421788,1421788
rebuild,42,709.5208,0.5228,5232348,5232348,1421788,1421788
rebuild,43,727.6644,0.4469,5343215,5343215,1421788,1421788
rebuild,44,781.1356,0.5314,5451041,5451041,1421788,1421788
rebuild,45,835.0244,0.4630,5554695,5554695,1421788,1421788
rebuild,46,773.8996,0.4662,5655630,5655630,1421788,1421788
rebuild,47,808.3968,0.4547,5756079,5756079,1421788,1421788
rebuild,48,820.5179,0.4772,5857922,5857922,1421788,1421788
rebuild,49,811.3148,0.5401,5960220,5960220,1421788,1421788
rebuild,50,903.2098,0.4288,6063133,6063133,1421788,1421788
rebuild,51,856.2835,0.4451,6166554,6166554,1421788,1421788
rebuild,52,848.2171,0.4469,6269934,6269934,1421788,1421788
rebuild,53,884.4495,0.4589,6372744,6372744,1421788,1421788
rebuild,54,916.4486,0.4621,6475245,6475245,1421788,1421788
rebuild,55,935.5706,0.6273,6575829,6575829,1421788,1421788
rebuild,56,960.9123,0.4558,6670443,6670443,1421788,1421788
rebuild,57,955.2160,0.4109,6757502,6757502,1421788,1421788
rebuild,58,939.2985,0.4274,6837260,6837260,1421788,1421788
rebuild,59,920.8244,0.4077,6908607,6908607,1421788,1421788
rebuild,60,929.1887,0.4625,6974417,6974417,1421788,1421788
rebuild,61,944.0248,0.4548,7033647,7033647,1421788,1421788
rebuild,62,947.6811,0.4180,7083663,7083663,1421788,1421788
rebuild,63,959.7204,0.4427,7121269,7121269,1421788,1421788
rebuild,64,962.3028,0.4288,7148755,7148755,1421788,1421788
rebuild,65,964.1720,0.4291,7170209,7170209,1421788,1421788
rebuild,66,972.0551,0.4196,7191274,7191274,1421788,1421788
rebuild,67,974.1697,0.4011,7207136,7207136,1421788,1421788
rebuild,68,974.1122,0.4305,7222685,7222685,1421788,1421788
rebuild,69,987.4918,0.4244,7238482,7238482,1421788,1421788
rebuild,70,981.5149,0.4276,7255054,7255054,1421788,1421788
rebuild,71,995.1777,0.4471,7277629,7277629,1421788,1421788
rebuild,72,996.6740,0.4046,7298404,7298404,1421788,1421788
rebuild,73,1078.7860,0.5156,7313281,7313281,1421788,1421788
rebuild,74,1081.4006,0.4241,7323558,7323558,1421788,1421788
rebuild,75,1022.3346,0.3835,7326452,7326452,1421788,1421788
rebuild,76,1036.2518,0.4426,7324599,7324599,1421788,1421788
rebuild,77,1030.5430,0.4439,7321111,7321111,1421788,1421788
rebuild,78,1021.5902,0.4845,7314473,7314473,1421788,1421788
rebuild,79,1027.0532,0.4713,7307383,7307383,1421788,1421788
rebuild,80,1018.7993,0.4643,7305223,7305223,1421788,1421788
rebuild,81,1031.6150,0.5849,7298131,7298131,1421788,1421788
rebuild,82,1041.6758,0.4065,7289189,7289189,1421788,1421788
rebuild,83,1017.7622,0.4199,7276091,7276091,1421788,1421788
rebuild,84,1087.0721,0.6708,7263798,7263798,1421788,1421788
rebuild,85,1047.8173,0.5968,7244771,7244771,1421788,1421788
rebuild,86,1057.3730,0.5196,7232631,7232631,1421788,1421788
rebuild,87,1041.8382,0.4274,7223179,7223179,1421788,1421788
rebuild,88,1036.5329,0.8309,7222923,7222923,1421788,1421788
rebuild,89,1052.5774,0.4275,7231264,7231264,1421788,1421788
rebuild,90,1036.1540,0.5501,7235340,7235340,1421788,1421788
rebuild,91,1051.7885,0.3961,7237939,7237939,1421788,1421788
rebuild,92,1040.4476,0.5209,7237472,7237472,1421788,1421788
rebuild,93,1038.2972,0.4581,7240603,7240603,1421788,1421788
rebuild,94,1025.5823,1.2313,7241060,7241060,1421788,1421788
rebuild,95,1054.2011,0.5882,7244327,7244327,1421788,1421788
rebuild,96,1038.5447,0.4830,7246251,7246251,1421788,1421788
rebuild,97,999.2708,0.4270,7245807,7245807,1421788,1421788
rebuild,98,980.3802,0.4439,7246168,7246168,1421788,1421788
rebuild,99,997.3134,0.4814,7241916,7241916,1421788,1421788
rebuild,100,990.7297,0.4363,7240992,7240992,1421788,1421788
rebuild,101,1009.4930,0.4276,7240092,7240092,1421788,1421788
rebuild,102,959.0995,0.4018,7245362,7245362,1421788,1421788
rebuild,103,956.8531,0.3974,7247590,7247590,1421788,1421788
rebuild,104,971.0904,0.3909,7251281,7251281,1421788,1421788
rebuild,105,970.2180,0.3848,7272416,7272416,1421788,1421788
rebuild,106,969.9740,0.3880,7304549,7304549,1421788,1421788
rebuild,107,965.4351,0.3775,7336435,7336435,1421788,1421788
rebuild,108,978.3845,0.4051,7361130,7361130,1421788,1421788
rebuild,109,973.8928,0.3724,7380062,7380062,1421788,1421788
rebuild,110,977.0834,0.3828,7384306,7384306,1421788,1421788
rebuild,111,975.3679,0.3968,7377450,7377450,1421788,1421788
rebuild,112,967.6274,0.3802,7365383,7365383,1421788,1421788
rebuild,113,990.7393,0.3715,7351206,7351206,1421788,1421788
rebuild,114,974.9885,0.3784,7339368,7339368,1421788,1421788
rebuild,115,965.1457,0.3796,7330402,7330402,1421788,1421788
rebuild,116,986.7557,0.3918,7324654,7324654,1421788,1421788
rebuild,117,976.0649,0.3837,7319559,7319559,1421788,1421788
rebuild,118,987.0414,0.3775,7323107,7323107,1421788,1421788
rebuild,119,969.4869,0.3702,7312610,7312610,1421788,1421788
rebuild,120,952.7308,0.3826,7302181,7302181,1421788,1421788
rebuild,121,960.8346,0.3915,7294841,7294841,1421788,1421788
rebuild,122,963.6277,0.4021,7291398,7291398,1421788,1421788
rebuild,123,955.4245,0.4024,7286975,7286975,1421788,1421788
rebuild,124,953.3124,0.4076,7289407,7289407,1421788,1421788
rebuild,125,968.9820,0.4017,7303712,7303712,1421788,1421788
rebuild,126,950.2455,0.3915,7320660,7320660,1421788,1421788
rebuild,127,964.2351,0.4671,7335561,7335561,1421788,1421788
rebuild,128,974.8613,0.4050,7341348,7341348,1421788,1421788
rebuild,129,959.2904,0.4146,7335662,7335662,1421788,1421788
rebuild,130,959.3782,0.3952,7328004,7328004,1421788,1421788
rebuild,131,957.9801,0.4075,7316680,7316680,1421788,1421788
rebuild,132,954.2772,0.4141,7300685,7300685,1421788,1421788
rebuild,133,943.0170,0.3926,7282999,7282999,1421788,1421788
rebuild,134,945.6497,0.3954,7263804,7263804,1421788,1421788
rebuild,135,936.8009,0.3833,7247240,7247240,1421788,1421788
rebuild,136,937.0581,0.4074,7249751,7249751,1421788,1421788
rebuild,137,949.7084,0.3839,7261898,7261898,1421788,1421788
rebuild,138,941.0706,0.3786,7276915,7276915,1421788,1421788
rebuild,139,941.1633,0.3984,7284980,7284980,1421788,1421788
rebuild,140,953.4918,0.4054,7288869,7288869,1421788,1421788
rebuild,141,943.2470,0.4138,7290466,7290466,1421788,1421788
rebuild,142,937.9872,0.4042,7293356,7293356,1421788,1421788
rebuild,143,939.9279,0.3901,7297634,7297634,1421788,1421788
rebuild,144,937.0770,0.4195,7300555,7300555,1421788,1421788
rebuild,145,941.0228,0.3998,7302934,7302934,1421788,1421788
rebuild,146,944.1629,0.4138,7307958,7307958,1421788,1421788
rebuild,147,942.9576,0.4842,7314689,7314689,1421788,1421788
rebuild,148,944.0568,0.4145,7326350,7326350,1421788,1421788
